Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210314144404.dxd
Start time: 3/14/2021 14:44:06.108
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 10000


Data1

Time (s),AI 1 -  (m/s2)
5.2395,-0.020299478
5.23955,-0.028153054
5.2396,-0.036792561
5.23965,-0.039818686
5.2397,-0.041806463
5.23975,-0.039156094
5.2398,-0.041181158
5.23985,-0.04530013
5.2399,-0.044301938
5.23995,-0.040174361
5.24,-0.035243649
5.24005,-0.027935058
5.2401,-0.016458739
5.24015,-0.010567121
5.2402,-0.00676654
5.24025,-0.0071652425
5.2403,-0.0092706205
5.24035,-0.0095947459
5.2404,-0.012999493
5.24045,-0.01365348
5.2405,-0.015609702
5.24055,-0.013994815
5.2406,-0.011573916
5.24065,-0.012574974
5.2407,-0.012359847
5.24075,-0.010610146
5.2408,-0.012440163
5.24085,-0.017729422
5.2409,-0.020600654
5.24095,-0.025585871
5.241,-0.030278513
5.24105,-0.030616978
5.2411,-0.030376036
5.24115,-0.026030466
5.2412,-0.02159024
5.24125,-0.020497395
5.2413,-0.010991639
5.24135,0.00042444593
5.2414,0.0085619921
5.24145,0.014984257
5.2415,0.016920403
5.24155,0.01622339
5.2416,0.011166465
5.24165,0.0047528055
5.2417,-0.0030692201
5.24175,-0.0037346801
5.2418,-0.005114363
5.24185,-0.0018874545
5.2419,0.0035911188
5.24195,0.0057079704
5.242,0.009597471
5.24205,0.0088918535
5.2421,0.012336757
5.24215,0.012396993
5.2422,0.0053465571
5.24225,0.002360591
5.2423,-0.0010671028
5.24235,-0.0040530688
5.2424,-0.0046812403
5.24245,-0.0033388464
5.2425,0.00041870921
5.24255,0.0048331199
5.2426,0.0094397105
5.24265,0.017003583
5.2427,0.02626266
5.24275,0.03628185
5.2428,0.040145535
5.24285,0.040311903
5.2429,0.03620154
5.24295,0.027025644
5.243,0.019103225
5.24305,0.014129485
5.2431,0.0070474963
5.24315,0.0028338709
5.2432,0.00051049684
5.24325,-0.00089786941
5.2433,-0.0053868578
5.24335,-0.012790102
5.2434,-0.015856382
5.24345,-0.017743764
5.2435,-0.017422508
5.24355,-0.019654095
5.2436,-0.017376615
5.24365,-0.012121774
5.2437,-0.01107769
5.24375,-0.012351244
5.2438,-0.012944994
5.24385,-0.01097156
5.2439,-0.0080114091
5.24395,-0.0050111017
5.244,0.0018528907
5.24405,0.0041561862
5.2441,0.0077072191
5.24415,0.012153182
5.2442,0.010320298
5.24425,0.014812155
5.2443,0.024315041
5.24435,0.027751341
5.2444,0.031698208
5.24445,0.037753321
5.2445,0.038900666
5.24455,0.036801025
5.2446,0.036035173
5.24465,0.037039097
5.2447,0.034139182
5.24475,0.032791056
5.2448,0.034010109
5.24485,0.032352194
5.2449,0.036178589
5.24495,0.040724948
5.245,0.031721156
5.24505,0.024406828
5.2451,0.022393238
5.24515,0.018721733
5.2452,0.017955881
5.24525,0.021452416
5.2453,0.023993786
5.24535,0.021641728
5.2454,0.021156974
5.24545,0.021240156
5.2455,0.017881304
5.24555,0.012184734
5.2456,0.0078993998
5.24565,0.0075580645
5.2457,0.0063304054
5.24575,0.0079223467
5.2458,0.0070245489
5.24585,0.0017008674
5.2459,-0.0068956162
5.24595,-0.01741964
5.246,-0.027195022
5.24605,-0.032501493
5.2461,-0.028683702
5.24615,-0.018308833
5.2462,-0.011582522
5.24625,0.00046173469
5.2463,0.0079137413
5.24635,0.0062214076
5.2464,0.0081948414
5.24645,0.0031063652
5.2465,-0.0064166002
5.24655,-0.015910881
5.2466,-0.023207996
5.24665,-0.023982456
5.2467,-0.019823328
5.24675,-0.012219298
5.2468,-0.0034162921
5.24685,0.0026675058
5.2469,0.0026101386
5.24695,0.0063734306
5.247,0.0081805
5.24705,0.010036331
5.2471,0.0088086706
5.24715,0.0051056142
5.2472,-0.0046927137
5.24725,-0.011545232
5.2473,-0.019275472
5.24735,-0.025365006
5.2474,-0.024014007
5.24745,-0.021945918
5.2475,-0.015799014
5.24755,-0.012170536
5.2476,-0.0067063044
