Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304185416.dxd
Start time: 3/4/2021 18:54:20.320
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0.1134,0.2568647
0.1136,0.31358659
0.1138,0.31136072
0.114,0.18629724
0.1142,-0.018463723
0.1144,-0.19898702
0.1146,-0.2908693
0.1148,-0.30543485
0.115,-0.26321825
0.1152,-0.13404153
0.1154,0.072110571
0.1156,0.25487691
0.1158,0.33507922
0.116,0.31141236
0.1162,0.2134721
0.1164,0.065255187
0.1166,-0.11405478
0.1168,-0.27805343
0.117,-0.3431108
0.1172,-0.28058907
0.1174,-0.1470094
0.1176,-0.00073724106
0.1178,0.16231199
0.118,0.30085966
0.1182,0.35054544
0.1184,0.2654956
0.1186,0.099420257
0.1188,-0.070533119
0.119,-0.2141463
0.1192,-0.30634984
0.1194,-0.32207996
0.1196,-0.23016325
0.1198,-0.063147083
0.12,0.130542
0.1202,0.27969688
0.1204,0.31737569
0.1206,0.29920173
0.1208,0.21455061
0.121,0.03503985
0.1212,-0.16964941
0.1214,-0.30278161
0.1216,-0.32172137
0.1218,-0.26945695
0.122,-0.14597106
0.1222,0.026021717
0.1224,0.19879183
0.1226,0.30821413
0.1228,0.31937495
0.123,0.21342622
0.1232,0.051269047
0.1234,-0.11262348
0.1236,-0.25723484
0.1238,-0.34062678
0.124,-0.3178778
0.1242,-0.17777833
0.1244,0.010067882
0.1246,0.18056911
0.1248,0.29278523
0.125,0.34454769
0.1252,0.32044485
0.1254,0.16189894
0.1256,-0.048813876
0.1258,-0.21787232
0.126,-0.2873584
0.1262,-0.28359801
0.1264,-0.23059924
0.1266,-0.09369228
0.1268,0.12036505
0.127,0.29301754
0.1272,0.33242026
0.1274,0.27781522
0.1276,0.18177669
0.1278,0.03835281
0.128,-0.15177377
0.1282,-0.31479716
0.1284,-0.3520945
0.1286,-0.26772735
0.1288,-0.12822165
0.129,0.015242409
0.1292,0.1767628
0.1294,0.32055956
0.1296,0.34971935
0.1298,0.25056577
0.13,0.077712491
0.1302,-0.083288729
0.1304,-0.22335951
0.1306,-0.31915706
0.1308,-0.3227196
0.131,-0.21223313
0.1312,-0.025783785
0.1314,0.16750085
0.1316,0.29207098
0.1318,0.33063039
0.132,0.30675414
0.1322,0.19583741
0.1324,0.0044860481
0.1326,-0.20367393
0.1328,-0.30803931
0.133,-0.29943711
0.1332,-0.24104869
0.1334,-0.12005828
0.1336,0.067237228
0.1338,0.2533108
0.134,0.33980915
0.1342,0.30518514
0.1344,0.19260477
0.1346,0.03604091
0.1348,-0.1383699
0.135,-0.27855542
0.1352,-0.3386935
0.1354,-0.28878397
0.1356,-0.13031554
0.1358,0.047385283
0.136,0.19105299
0.1362,0.29950866
0.1364,0.34274921
0.1366,0.27667072
0.1368,0.096004039
0.137,-0.091500849
0.1372,-0.22950639
0.1374,-0.30231979
0.1376,-0.29571968
0.1378,-0.21996623
0.138,-0.051794101
0.1382,0.14892821
0.1384,0.29604366
0.1386,0.33653921
0.1388,0.28319916
0.139,0.172139
0.1392,0.020302201
0.1394,-0.17758329
0.1396,-0.32213157
0.1398,-0.33135048
0.14,-0.24738203
0.1402,-0.115205
0.1404,0.042050131
0.1406,0.22513486
0.1408,0.33844954
0.141,0.33205596
0.1412,0.23101787
0.1414,0.056426365
0.1416,-0.1116339
0.1418,-0.24243411
0.142,-0.30708414
0.1422,-0.2911762
0.1424,-0.17633842
0.1426,0.01461137
0.1428,0.19220605
0.143,0.28327945
0.1432,0.3133772
0.1434,0.26819474
0.1436,0.11329166
0.1438,-0.081653759
0.144,-0.25153545
0.1442,-0.33318624
0.1444,-0.31477711
0.1446,-0.21569809
0.1448,-0.066276461
0.145,0.10372854
0.1452,0.2777808
0.1454,0.34872976
0.1456,0.29292002
0.1458,0.17076218
0.146,0.017476864
0.1462,-0.13442303
0.1464,-0.2854825
0.1466,-0.35135159
0.1468,-0.27257201
0.147,-0.1082234
0.1472,0.051971793
0.1474,0.20548372
0.1476,0.32403314
0.1478,0.35500002
0.148,0.27265504
0.1482,0.080440298
0.1484,-0.11163676
0.1486,-0.23897198
0.1488,-0.29091805
0.149,-0.29765871
0.1492,-0.22101603
0.1494,-0.031486094
0.1496,0.17233978
0.1498,0.29952872
0.15,0.3091234
0.1502,0.24942416
0.1504,0.14230801
0.1506,-0.036672093
0.1508,-0.24248287
0.151,-0.3508324
0.1512,-0.33252078
0.1514,-0.22844224
0.1516,-0.081779964
0.1518,0.089306414
0.152,0.27163678
0.1522,0.36970037
0.1524,0.33732516
0.1526,0.19596075
0.1528,0.023018541
0.153,-0.14490977
0.1532,-0.2791979
0.1534,-0.33166313
0.1536,-0.29043043
0.1538,-0.13493934
0.154,0.071734816
0.1542,0.22544178
0.1544,0.30810514
0.1546,0.32240966
0.1548,0.26604059
0.155,0.11074743
0.1552,-0.095043279
0.1554,-0.25864324
0.1556,-0.30384576
0.1558,-0.28252521
0.156,-0.2127609
0.1562,-0.052798029
0.1564,0.14181754
0.1566,0.29456359
0.1568,0.33152246
0.157,0.27499276
0.1572,0.14218181
0.1574,-0.014278783
0.1576,-0.17122126
0.1578,-0.32063714
0.158,-0.3368893
0.1582,-0.24140151
0.1584,-0.089690909
0.1586,0.070386693
0.1588,0.22177602
0.159,0.33435926
0.1592,0.33954242
0.1594,0.2197194
0.1596,0.024854295
0.1598,-0.14768347
0.16,-0.27314281
0.1602,-0.32033026
0.1604,-0.28987685
0.1606,-0.17559265
0.1608,0.020416936
0.161,0.2266465
0.1612,0.32805461
0.1614,0.31289819
0.1616,0.25561696
0.1618,0.12538755
0.162,-0.080575258
0.1622,-0.26590881
0.1624,-0.34569231
0.1626,-0.31084457
0.1628,-0.21396273
0.163,-0.072179563
0.1632,0.11782654
0.1634,0.2823329
0.1636,0.34220138
0.1638,0.30474055
0.164,0.16406168
0.1642,-0.005667957
0.1644,-0.15502936
0.1646,-0.26796827
0.1648,-0.31556016
0.165,-0.25662965
0.1652,-0.09610457
0.1654,0.065725595
0.1656,0.20572753
0.1658,0.2995775
0.166,0.2918157
0.1662,0.2097002
0.1664,0.057490524
0.1666,-0.13836703
0.1668,-0.28338572
0.167,-0.32250446
0.1672,-0.27939585
0.1674,-0.17418142
0.1676,-0.014947111
0.1678,0.18053469
0.168,0.33959118
0.1682,0.34617692
0.1684,0.24083915
0.1686,0.11725574
0.1688,-0.033795126
0.169,-0.22267683
0.1692,-0.34430403
0.1694,-0.32477048
0.1696,-0.21241669
0.1698,-0.049728882
0.17,0.11479755
0.1702,0.26315504
0.1704,0.36167756
0.1706,0.34219849
0.1708,0.19600666
0.171,-0.0091530178
0.1712,-0.1733209
0.1714,-0.27968267
0.1716,-0.31663865
0.1718,-0.29611841
0.172,-0.15436676
0.1722,0.061959434
0.1724,0.22773361
0.1726,0.30523965
0.1728,0.29407597
0.173,0.2301746
0.1732,0.082453892
0.1734,-0.11061563
0.1736,-0.27721301
0.1738,-0.33590257
0.174,-0.27152506
0.1742,-0.16855082
0.1744,-0.024556126
0.1746,0.16014063
0.1748,0.31325099
0.175,0.36671442
0.1752,0.28666413
0.1754,0.13313213
0.1756,-0.022640061
0.1758,-0.17393474
0.176,-0.30155683
0.1762,-0.32409355
0.1764,-0.23723949
0.1766,-0.064624287
0.1768,0.11504136
0.177,0.2486497
0.1772,0.32093245
0.1774,0.32439458
0.1776,0.21603069
0.1778,0.0010669592
0.178,-0.18331142
0.1782,-0.29070291
0.1784,-0.32170421
0.1786,-0.27105463
0.1788,-0.15396807
0.179,0.031528972
0.1792,0.23368832
0.1794,0.34358391
0.1796,0.32333902
0.1798,0.24668774
0.18,0.10358512
0.1802,-0.073372796
0.1804,-0.25275734
0.1806,-0.35068327
0.1808,-0.30830321
0.181,-0.18341754
0.1812,-0.025336323
0.1814,0.13855046
0.1816,0.29853627
0.1818,0.35695621
0.182,0.2949422
0.1822,0.15524434
0.1824,-0.041367602
0.1826,-0.2013907
0.1828,-0.28606191
0.183,-0.32367191
0.1832,-0.27083951
0.1834,-0.11732759
0.1836,0.084120408
0.1838,0.23622397
0.184,0.29994753
0.1842,0.29968074
0.1844,0.23766674
0.1846,0.076008677
0.1848,-0.12543933
0.185,-0.26807728
0.1852,-0.29790825
0.1854,-0.24886498
0.1856,-0.13094944
0.1858,0.024203176
0.186,0.19014372
0.1862,0.33011696
0.1864,0.35361457
0.1866,0.24988596
0.1868,0.10722508
0.187,-0.051335163
0.1872,-0.21900244
0.1874,-0.32459551
0.1876,-0.32008356
0.1878,-0.22705969
0.188,-0.062260758
0.1882,0.11047206
0.1884,0.24735609
0.1886,0.31444135
0.1888,0.29066837
0.189,0.17545195
0.1892,-0.010291758
0.1894,-0.18669894
0.1896,-0.27800754
0.1898,-0.26925907
0.19,-0.23468952
0.1902,-0.1320136
0.1904,0.080787368
0.1906,0.27682564
0.1908,0.33999559
0.191,0.30759457
0.1912,0.22768484
0.1914,0.090726249
0.1916,-0.087444983
0.1918,-0.25925419
0.192,-0.32462418
0.1922,-0.26088342
0.1924,-0.14470038
0.1926,0.0018930478
0.1928,0.15645479
0.193,0.28780288
0.1932,0.34447598
0.1934,0.27567545
0.1936,0.095972486
0.1938,-0.081791446
0.194,-0.2085817
0.1942,-0.31570357
0.1944,-0.34116605
0.1946,-0.25089863
0.1948,-0.067544281
0.195,0.14217608
0.1952,0.28225833
0.1954,0.32859385
0.1956,0.31061783
0.1958,0.21414332
0.196,0.0285889
0.1962,-0.17474361
0.1964,-0.31134367
0.1966,-0.31949842
0.1968,-0.2413929
0.197,-0.13240084
0.1972,0.03693584
0.1974,0.24813914
0.1976,0.37185737
0.1978,0.33926129
0.198,0.23608628
0.1982,0.08744771
0.1984,-0.094372079
0.1986,-0.25060609
0.1988,-0.34230191
0.199,-0.30420431
0.1992,-0.15815586
0.1994,0.0051830602
0.1996,0.15459895
0.1998,0.28063768
0.2,0.33223093
0.2002,0.28103065
0.2004,0.13232039
0.2006,-0.067598782
0.2008,-0.22420278
0.201,-0.2959922
0.2012,-0.30105197
0.2014,-0.24275537
0.2016,-0.083997212
0.2018,0.11816501
0.202,0.28611913
0.2022,0.34641498
0.2024,0.29448327
0.2026,0.20380573
0.2028,0.054404166
0.203,-0.1556145
0.2032,-0.300071
0.2034,-0.32448363
0.2036,-0.26012617
0.2038,-0.13804004
0.204,0.020041181
0.2042,0.19580586
0.2044,0.32732031
0.2046,0.34542254
0.2048,0.24577273
0.205,0.074339293
0.2052,-0.095077701
0.2054,-0.24012795
0.2056,-0.32735774
0.2058,-0.31701154
0.206,-0.20240611
0.2062,-0.0046927137
0.2064,0.17040938
0.2066,0.2785438
0.2068,0.33771527
0.207,0.30093423
0.2072,0.16882317
0.2074,-0.013042518
0.2076,-0.20435084
0.2078,-0.31608793
0.208,-0.3044768
0.2082,-0.23053902
0.2084,-0.10495061
0.2086,0.076935157
0.2088,0.2477548
0.209,0.33192974
0.2092,0.29911855
0.2094,0.19216591
0.2096,0.025155472
0.2098,-0.13706766
0.21,-0.27501872
0.2102,-0.34247687
0.2104,-0.28037396
0.2106,-0.15281785
0.2108,0.022049034
0.211,0.19123369
0.2112,0.297409
0.2114,0.34811595
0.2116,0.30244011
0.2118,0.12250197
0.212,-0.095143676
0.2122,-0.22560255
0.2124,-0.28713754
0.2126,-0.30413833
0.2128,-0.24116054
0.213,-0.061271176
0.2132,0.16539834
0.2134,0.30532283
0.2136,0.33659086
0.2138,0.298935
0.214,0.20370534
0.2142,0.029113811
0.2144,-0.1767486
0.2146,-0.31696853
0.2148,-0.33473805
0.215,-0.23339878
0.2152,-0.10491332
0.2154,0.029615775
0.2156,0.21293284
0.2158,0.34009311
0.216,0.32188761
0.2162,0.19473882
0.2164,0.035114426
0.2166,-0.11448791
0.2168,-0.25186816
0.217,-0.33165741
0.2172,-0.29761568
0.2174,-0.16229205
0.2176,0.023681134
0.2178,0.18684509
0.218,0.29603794
0.2182,0.32767311
0.2184,0.28468782
0.2186,0.15807255
0.2188,-0.060760602
0.219,-0.23807132
0.2192,-0.29118767
0.2194,-0.28115416
0.2196,-0.22623074
0.2198,-0.085460074
0.22,0.11135839
0.2202,0.28048855
0.2204,0.3398608
0.2206,0.29041594
0.2208,0.19098127
0.221,0.035194743
0.2212,-0.15164469
0.2214,-0.30233127
0.2216,-0.3389574
0.2218,-0.26910987
0.222,-0.12616502
0.2222,0.049074747
0.2224,0.20137335
0.2226,0.32240966
0.2228,0.35824987
0.223,0.24791254
0.2232,0.070633367
0.2234,-0.10713343
0.2236,-0.24502711
0.2238,-0.3074685
0.224,-0.30196986
0.2242,-0.20043555
0.2244,-0.011198161
0.2246,0.18918568
0.2248,0.29696155
0.225,0.32003751
0.2252,0.26992434
0.2254,0.14663926
0.2256,-0.038304191
0.2258,-0.23265874
0.226,-0.33334687
0.2262,-0.30995539
0.2264,-0.21829683
0.2266,-0.086484089
0.2268,0.094151072
0.227,0.26276779
0.2272,0.34130356
0.2274,0.3081826
0.2276,0.17761183
0.2278,0.027140377
0.228,-0.12531312
0.2282,-0.2690267
0.2284,-0.32798302
0.2286,-0.26958889
0.2288,-0.13432264
0.229,0.047402497
0.2292,0.20959407
0.2294,0.30971718
0.2296,0.33822581
0.2298,0.27761158
0.23,0.11168824
0.2302,-0.092507645
0.2304,-0.24674526
0.2306,-0.31768274
0.2308,-0.29889497
0.231,-0.20688936
0.2312,-0.056369144
0.2314,0.13536084
0.2316,0.29695007
0.2318,0.3318609
0.232,0.26883152
0.2322,0.15046564
0.2324,-0.017416772
0.2326,-0.20002535
0.2328,-0.33068791
0.233,-0.3446683
0.2332,-0.23363683
0.2334,-0.072079159
0.2336,0.080655426
0.2338,0.22932553
0.234,0.34315941
0.2342,0.34271768
0.2344,0.20818286
0.2346,0.01270104
0.2348,-0.1453142
0.235,-0.24524797
0.2352,-0.30651048
0.2354,-0.29265055
0.2356,-0.14859562
0.2358,0.053021614
0.236,0.22730622
0.2362,0.31744739
0.2364,0.31654385
0.2366,0.25837919
0.2368,0.12626813
0.237,-0.07982374
0.2372,-0.27508467
0.2374,-0.34462816
